id_subsistena;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
N;NORTE;2023-01-01 08:00:00;3006.46411132;882.78198242;117.96800231;2.00000000;5299.71900000;-1290.50500000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 08:00:00;26147.67000000;5664.99300000;11117.89600000;4289.58200000;47220.14000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-01 08:00:00;19361.31445312;4042.50000000;5.00000000;1355.93603515;26260.21999999;-1495.47000000
S;SUL;2023-01-01 08:00:00;1377.23400878;68.52100372;195.29600524;1.50000000;7682.82300000;-6040.27200000
NE;NORDESTE;2023-01-01 09:00:00;2418.22290039;673.08197021;9756.03027343;2903.54907226;7660.49899999;8090.38500000
N;NORTE;2023-01-01 09:00:00;2927.54394531;887.12902832;239.03799438;3.00000000;5122.14600000;-1065.43500000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 09:00:00;26038.46200000;5612.05500000;10206.06400000;4533.16700000;46389.75000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-01 09:00:00;19313.98828125;3982.13793945;5.00000000;1623.61804199;26281.32400000;-1356.58000000
S;SUL;2023-01-01 09:00:00;1378.70703125;69.70600128;205.99600219;3.00000000;7325.77900000;-5668.37000000
NE;NORDESTE;2023-01-01 10:00:00;2501.60498046;675.78601074;8790.08398437;2673.28295898;7540.35900000;7100.39900000
N;NORTE;2023-01-01 10:00:00;3066.57788085;882.44500732;274.86499023;3.00000000;5058.23799999;-831.35000000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 10:00:00;27436.85100000;5598.12700000;9330.85300000;4327.26800000;46693.10000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-01 10:00:00;20461.27539062;3968.56591796;5.00000000;1647.98498535;26871.89100000;-789.06400000
S;SUL;2023-01-01 10:00:00;1407.39196777;71.33000183;260.90399169;3.00000000;7222.61100000;-5479.98499999
NE;NORDESTE;2023-01-01 11:00:00;2539.08007812;663.82000732;8530.04003906;2717.78808593;7618.15900000;6832.56899999
N;NORTE;2023-01-01 11:00:00;3068.89599609;873.75598144;268.78399658;3.00000000;5007.82700000;-793.39099999
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 11:00:00;28298.18300000;5570.53800000;9238.29400000;4351.10700000;47458.12000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-01 11:00:00;21263.25585937;3960.04296875;5.00000000;1627.31896972;27637.95699999;-782.33900000
S;SUL;2023-01-01 11:00:00;1426.95104980;72.91899871;434.47000122;3.00000000;7194.17900000;-5256.83900000
NE;NORDESTE;2023-01-01 12:00:00;2583.21191406;666.49401855;7926.68310546;2943.93505859;7715.65600000;6404.66800000
N;NORTE;2023-01-01 12:00:00;2943.14306640;874.31597900;346.98400878;3.00000000;4966.85400000;-799.41100000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 12:00:00;28466.81700000;5583.53600000;8999.18300000;4691.32700000;47740.86000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-01 12:00:00;21512.11523437;3968.12597656;5.00000000;1741.39196777;27940.96399999;-714.33099999
S;SUL;2023-01-01 12:00:00;1428.34704589;74.59999847;720.51599121;3.00000000;7117.38900000;-4890.92600000
NE;NORDESTE;2023-01-01 13:00:00;2727.03393554;670.86297607;7879.39599609;2938.67895507;7818.78600000;6397.18600000
N;NORTE;2023-01-01 13:00:00;2928.30908203;877.05902099;380.24099731;3.00000000;5041.56399999;-852.95500000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 13:00:00;28450.33400000;5562.56700000;9206.13200000;4581.21600000;47800.25000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-01 13:00:00;21417.10156250;3941.80493164;6.00000000;1636.53698730;27566.56600000;-565.12299999
